,Country,Sector,Industry,Length_of_Business_Summary,Currency
SODA,,,,0,
AVNS,United States,Healthcare,Medical Devices,1293,USD
CAMP,United States,Technology,Communication Equipment,2043,USD
ANNX,United States,Healthcare,Biotechnology,948,USD
IMGO,,,,0,
NDRA,United States,Healthcare,Diagnostics & Research,605,USD
VNET,China,Technology,Information Technology Services,1615,USD
FCSC,,,,0,
MSFT,United States,Technology,Software—Infrastructure,1964,USD
RPT,,,,0,
CELC,United States,Healthcare,Biotechnology,878,USD
DUOT,United States,Technology,Software—Application,1308,USD
BRQS,,,,0,
SBIG,United States,Technology,Software—Application,342,USD
TBNK,United States,Financial Services,Banks—Regional,996,USD
SCTL,,,,0,
DNOW,United States,Industrials,Industrial Distribution,1834,USD
EEFT,United States,Technology,Software—Infrastructure,1899,USD
GRBK,United States,Consumer Cyclical,Residential Construction,995,USD
SRAD,Switzerland,Technology,Software—Application,1031,USD
IBRX,United States,Healthcare,Biotechnology,1247,USD
SHLO,,,,0,
INNV,United States,Healthcare,Medical Care Facilities,997,USD
ZUMZ,United States,Consumer Cyclical,Apparel Retail,527,USD
ABDC,,,,0,
CIT,,,,0,
PFGC,United States,Consumer Defensive,Food Distribution,1097,USD
ZETA,United States,Technology,Software—Application,1124,USD
GDEN,United States,Consumer Cyclical,Resorts & Casinos,422,USD
AURA,United States,Healthcare,Biotechnology,865,USD
TFPM,Canada,Basic Materials,Other Precious Metals & Mining,794,USD
RBCAA,United States,Financial Services,Banks—Regional,1522,USD
THG,United States,Financial Services,Insurance—Property & Casualty,1384,USD
PLAY,United States,Communication Services,Entertainment,551,USD
SRRK,United States,Healthcare,Biotechnology,912,USD
ECA,,,,0,
EVLV,United States,Industrials,Security & Protection Services,581,USD
TNAV,,,,0,
QUMU,,,,0,
ABX,,,,0,
LICY,Canada,Industrials,Waste Management,494,USD
HPK,United States,Energy,Oil & Gas E&P,321,USD
ORLA,Canada,Basic Materials,Gold,695,USD
BALL,United States,Consumer Cyclical,Packaging & Containers,533,USD
NTBL,United States,Healthcare,Biotechnology,840,USD
SLM,United States,Financial Services,Credit Services,567,USD
NCMI,United States,Communication Services,Advertising Agencies,923,USD
CHH,United States,Consumer Cyclical,Lodging,781,USD
EXAC,,,,0,
ADSK,United States,Technology,Software—Application,1999,USD
HAWK,,,,0,
BGS,United States,Consumer Defensive,Packaged Foods,1860,USD
MYL,,,,0,
GMTX,,,,0,
CYOU,,,,0,
GM,United States,Consumer Cyclical,Auto Manufacturers,1011,USD
WISA,United States,Technology,Semiconductors,624,USD
EPM,United States,Energy,Oil & Gas E&P,889,USD
GAU,Canada,Basic Materials,Gold,408,USD
IBEX,United States,Technology,Information Technology Services,1305,USD
PHGE,Israel,Healthcare,Biotechnology,613,USD
QADA,,,,0,
AMRB,,,,0,
CBK,,,,0,
SITC,United States,Real Estate,REIT—Retail,315,USD
PDCE,,,,0,USD
UMBF,United States,Financial Services,Banks—Regional,1779,USD
LOCL,United States,Consumer Defensive,Farm Products,295,USD
MNKD,United States,Healthcare,Biotechnology,1569,USD
RMD,United States,Healthcare,Medical Instruments & Supplies,1985,USD
ATGE,United States,Consumer Defensive,Education & Training Services,1168,USD
RAPT,United States,Healthcare,Biotechnology,1013,USD
BIRK,United Kingdom,Consumer Cyclical,Footwear & Accessories,550,USD
PMVP,United States,Healthcare,Biotechnology,543,USD
AVDL,Ireland,Healthcare,Drug Manufacturers—Specialty & Generic,504,USD
YETI,United States,Consumer Cyclical,Leisure,1308,USD
CYTX,,,,0,
KORS,,,,0,
LSTR,United States,Industrials,Integrated Freight & Logistics,1603,USD
NMTR,,,,0,
CALM,United States,Consumer Defensive,Farm Products,795,USD
AVA,United States,Utilities,Utilities—Diversified,1316,USD
EVGN,Israel,Healthcare,Biotechnology,1239,USD
TDY,United States,Technology,Scientific & Technical Instruments,1998,USD
AVID,,,,0,
BBLN,,,,0,
CMCT,United States,Real Estate,REIT—Office,1058,USD
RGSE,,,,0,
TELL,United States,Energy,Oil & Gas E&P,435,USD
VTLE,United States,Energy,Oil & Gas E&P,393,USD
FLS,United States,Industrials,Specialty Industrial Machinery,1748,USD
DCBO,Canada,Technology,Software—Application,1977,USD
NBIX,United States,Healthcare,Drug Manufacturers—Specialty & Generic,1887,USD
SFE,,,,0,
ROIV,United Kingdom,Healthcare,Biotechnology,1575,USD
ESQ,United States,Financial Services,Banks—Regional,1285,USD
NABL,United States,Technology,Information Technology Services,1415,USD
BLL,,,,0,
STTK,United States,Healthcare,Biotechnology,395,USD
DHI,United States,Consumer Cyclical,Residential Construction,998,USD
AWR,United States,Utilities,Utilities—Regulated Water,924,USD
EDGE,,,,0,
SONC,,,,0,
GLUE,United States,Healthcare,Biotechnology,734,USD
ROP,United States,Technology,Software—Application,1640,USD
TSN,United States,Consumer Defensive,Farm Products,1631,USD
GIC,United States,Industrials,Industrial Distribution,1110,USD
BLRX,Israel,Healthcare,Biotechnology,647,USD
BCEL,United States,Healthcare,Biotechnology,1233,USD
ATEN,United States,Technology,Software—Infrastructure,1998,USD
FUBO,United States,Communication Services,Broadcasting,369,USD
HBIO,United States,Healthcare,Medical Instruments & Supplies,1979,USD
FVE,,,,0,
JWN,United States,Consumer Cyclical,Department Stores,540,USD
APPF,United States,Technology,Software—Application,1445,USD
BAP,Peru,Financial Services,Banks—Regional,1239,USD
CWBC,United States,Financial Services,Banks—Regional,1192,USD
MLNX,,,,0,
BBVA,Spain,Financial Services,Banks—Diversified,798,USD
EW,United States,Healthcare,Medical Devices,1498,USD
CYCN,United States,Healthcare,Biotechnology,502,USD
IMBI,,,,0,
ABMD,,,,0,USD
MB,,,,0,
GPOR,United States,Energy,Oil & Gas E&P,393,USD
ADES,,,,0,
BSFT,,,,0,
SYKE,,,,0,
LFCR,United States,Healthcare,Drug Manufacturers—Specialty & Generic,966,USD
ARM,United Kingdom,Technology,Semiconductors,1049,USD
SBAC,United States,Real Estate,REIT—Specialty,482,USD
BNS,Canada,Financial Services,Banks—Diversified,1094,USD
EPZM,,,,0,
BYD,United States,Consumer Cyclical,Resorts & Casinos,457,USD
IQ,China,Communication Services,Entertainment,1193,USD
ACM,United States,Industrials,Engineering & Construction,868,USD
NXE,Canada,Energy,Uranium,411,USD
FTHM,United States,Real Estate,Real Estate Services,1396,USD
SVU,,,,0,
JRVR,Bermuda,Financial Services,Insurance—Specialty,686,USD
DAR,United States,Consumer Defensive,Packaged Foods,1362,USD
TNC,United States,Industrials,Specialty Industrial Machinery,1228,USD
MYOK,,,,0,
TBK,,,,0,
TLMD,,,,0,
ASAN,United States,Technology,Software—Application,959,USD
GNFT,France,Healthcare,Biotechnology,1239,USD
XBKS,,,,0,
LIQT,Denmark,Industrials,Pollution & Treatment Controls,1380,USD
PODD,United States,Healthcare,Medical Devices,1008,USD
SR,United States,Utilities,Utilities—Regulated Gas,727,USD
AXP,United States,Financial Services,Credit Services,1388,USD
NXGN,,,,0,
COLM,United States,Consumer Cyclical,Apparel Manufacturing,1271,USD
PXMD,United States,Healthcare,Biotechnology,1346,USD
SCG,,,,0,
VJET,,,,0,
PGR,United States,Financial Services,Insurance—Property & Casualty,1958,USD
TNK,Bermuda,Energy,Oil & Gas Midstream,513,USD
BBQ,,,,0,USD
VNDA,United States,Healthcare,Biotechnology,1660,USD
JAZZ,Ireland,Healthcare,Biotechnology,1998,USD
LBY,,,,0,
SOTK,United States,Technology,Scientific & Technical Instruments,790,USD
XBIO,United States,Healthcare,Biotechnology,1667,USD
FBK,United States,Financial Services,Banks—Regional,1736,USD
MINM,United States,Technology,Communication Equipment,1396,USD
COOL,United States,Financial Services,Shell Companies,498,USD
EGN,,,,0,
AKA,United States,Consumer Cyclical,Apparel Retail,534,USD
AKLI,United States,Healthcare,Health Information Services,863,USD
BTCY,United States,Healthcare,Medical Devices,562,USD
WMB,United States,Energy,Oil & Gas Midstream,1654,USD
PKD,,,,0,
ACTA,,,,0,
CRS,United States,Industrials,Metal Fabrication,652,USD
OCDX,,,,0,
SCVL,United States,Consumer Cyclical,Apparel Retail,484,USD
FIZZ,United States,Consumer Defensive,Beverages—Non-Alcoholic,888,USD
FCB,,,,0,
IBM,United States,Technology,Information Technology Services,1315,USD
PFS,United States,Financial Services,Banks—Regional,1618,USD
JBI,United States,Industrials,Building Products & Equipment,497,USD
CVM,United States,Healthcare,Biotechnology,965,USD
SMG,United States,Basic Materials,Agricultural Inputs,1915,USD
G,Bermuda,Technology,Information Technology Services,1994,USD
ACH,,,,0,
INFN,United States,Technology,Communication Equipment,1867,USD
CG,United States,Financial Services,Asset Management,5005,USD
KNDI,China,Consumer Cyclical,Auto Parts,671,USD
MQ,United States,Technology,Software—Infrastructure,406,USD
VIRX,United States,Healthcare,Biotechnology,892,USD
PEIX,,,,0,
PINS,United States,Communication Services,Internet Content & Information,449,USD
LOAN,United States,Real Estate,REIT—Mortgage,766,USD
ILPT,United States,Real Estate,REIT—Industrial,866,USD
ROKU,United States,Communication Services,Entertainment,903,USD
MAA,United States,Real Estate,REIT—Residential,522,USD
SHSP,,,,0,
NOTE,United States,Technology,Information Technology Services,720,USD
DRI,United States,Consumer Cyclical,Restaurants,413,USD
IIJI,,,,0,
ADSW,,,,0,
CCJ,Canada,Energy,Uranium,1095,USD
ORLY,United States,Consumer Cyclical,Specialty Retail,1372,USD
MET,United States,Financial Services,Insurance—Life,1479,USD
LMDX,,,,0,USD
TIXT,Canada,Technology,Software—Infrastructure,1969,USD
SPAQ,,,,404,USD
AEL,,,,0,
TPIC,United States,Industrials,Specialty Industrial Machinery,668,USD
HGV,United States,Consumer Cyclical,Resorts & Casinos,943,USD
GMGI,United States,Communication Services,Electronic Gaming & Multimedia,898,USD
BLBX,United States,Technology,Software—Application,315,USD
MINI,,,,0,
RDUS,United States,Basic Materials,Steel,1938,USD
AIR,United States,Industrials,Aerospace & Defense,1945,USD
PYPL,United States,Financial Services,Credit Services,870,USD
ADAP,United Kingdom,Healthcare,Biotechnology,988,USD
QLYS,United States,Technology,Software—Infrastructure,1958,USD
VRTX,United States,Healthcare,Biotechnology,1838,USD
REIS,,,,0,
TKAT,,,,0,
SLG,United States,Real Estate,REIT—Office,488,USD
TIVO,,,,0,
SANA,United States,Healthcare,Biotechnology,1739,USD
INOD,United States,Technology,Information Technology Services,1596,USD
SILV,Canada,Basic Materials,Other Precious Metals & Mining,525,USD
MOFG,United States,Financial Services,Banks—Regional,1070,USD
MNTA,,,,0,
TER,United States,Technology,Semiconductor Equipment & Materials,1979,USD
BNFT,,,,0,
PWSC,United States,Technology,Software—Application,881,USD
LIDR,United States,Technology,Software—Infrastructure,587,USD
OAS,,,,0,
PRIM,United States,Industrials,Engineering & Construction,1126,USD
WMG,United States,Communication Services,Entertainment,1849,USD
ANTH,United States,Healthcare,Biotechnology,687,USD
FFIC,United States,Financial Services,Banks—Regional,1174,USD
ANDE,United States,Consumer Defensive,Food Distribution,1954,USD
WSM,United States,Consumer Cyclical,Specialty Retail,1330,USD
ALRN,United States,Healthcare,Biotechnology,910,USD
ABOS,United States,Healthcare,Biotechnology,697,USD
DCO,United States,Industrials,Aerospace & Defense,1981,USD
ATEC,United States,Healthcare,Medical Devices,1980,USD
FRT,United States,Real Estate,REIT—Retail,1140,USD
DWCH,,,,0,
MPC,United States,Energy,Oil & Gas Refining & Marketing,1486,USD
AKR,United States,Real Estate,REIT—Retail,570,USD
GLMD,Israel,Healthcare,Biotechnology,1082,USD
ZTO,China,Industrials,Integrated Freight & Logistics,361,USD
ELMS,,,,0,
EFSC,United States,Financial Services,Banks—Regional,1605,USD
HR,United States,Real Estate,REIT—Healthcare Facilities,483,USD
NOV,United States,Energy,Oil & Gas Equipment & Services,1903,USD
MORF,United States,Healthcare,Biotechnology,1101,USD
DINO,United States,Energy,Oil & Gas Refining & Marketing,949,USD
SCOR,United States,Communication Services,Internet Content & Information,1979,USD
PGRE,United States,Real Estate,REIT—Office,492,USD
ACST,United States,Healthcare,Biotechnology,529,USD
CDXS,United States,Healthcare,Biotechnology,978,USD
MSAI,United States,Technology,Software—Infrastructure,788,USD
LC,United States,Financial Services,Credit Services,620,USD
ROX,,,,0,
VZIO,United States,Technology,Consumer Electronics,1059,USD
TCN,,,,0,
EPR,United States,Real Estate,REIT—Specialty,758,USD
TRHC,,,,0,
FTCI,United States,Technology,Solar,652,USD
RTTR,,,,0,
ELYS,Canada,Consumer Cyclical,Gambling,826,USD
IKNA,United States,Healthcare,Biotechnology,526,USD
TCPC,United States,Financial Services,Asset Management,1277,USD
HTBI,United States,Financial Services,Banks—Regional,1226,USD
SAM,United States,Consumer Defensive,Beverages—Brewers,896,USD
FSLY,United States,Technology,Software—Application,1470,USD
BOWL,United States,Consumer Cyclical,Leisure,420,USD
QBTS,Canada,Technology,Computer Hardware,810,USD
PFX,United States,Financial Services,Asset Management,2010,USD
LBAI,United States,Financial Services,Banks—Regional,1495,USD
DOCN,United States,Technology,Software—Infrastructure,1872,USD
IMRX,United States,Healthcare,Biotechnology,567,USD
AYI,United States,Industrials,Electrical Equipment & Parts,1642,USD
AVAL,Colombia,Financial Services,Banks—Regional,1472,USD
VAR,,,,0,
CSBR,United States,Healthcare,Biotechnology,1048,USD
ORI,United States,Financial Services,Insurance—Diversified,1686,USD
EEP,,,,0,
CINT,Brazil,Technology,Software—Infrastructure,473,USD
NBR,Bermuda,Energy,Oil & Gas Drilling,1234,USD
TAL,China,Consumer Defensive,Education & Training Services,744,USD
KSPN,United States,Technology,Software—Application,605,USD
AVTX,United States,Healthcare,Biotechnology,763,USD
HG,Bermuda,Financial Services,Insurance—Reinsurance,1386,USD
SNCY,United States,Industrials,Airlines,995,USD
BTDR,Singapore,Technology,Software—Application,702,USD
FOLD,United States,Healthcare,Biotechnology,659,USD
GPL,,,,0,
ACB,Canada,Healthcare,Drug Manufacturers—Specialty & Generic,1206,USD
MGY,United States,Energy,Oil & Gas E&P,464,USD
TLIS,United States,Healthcare,Medical Devices,296,USD
CKH,,,,0,
DH,United States,Healthcare,Health Information Services,961,USD
JAMF,United States,Technology,Software—Application,1407,USD
EVA,United States,Basic Materials,Lumber & Wood Production,643,USD
INTT,United States,Technology,Semiconductor Equipment & Materials,1985,USD
DRIO,United States,Healthcare,Health Information Services,1159,USD
ALSK,,,,0,
IMUX,United States,Healthcare,Biotechnology,934,USD
GTEC,United States,Industrials,Specialty Industrial Machinery,704,USD
STON,,,,0,
ELLI,,,,0,
PTMN,United States,Financial Services,Asset Management,1559,USD
VIAC,,,,0,
AUVI,United States,Consumer Cyclical,"Furnishings, Fixtures & Appliances",840,USD
DAY,United States,Technology,Software—Application,790,USD
NAV,,,,0,
BPMC,United States,Healthcare,Biotechnology,1461,USD
USAK,,,,0,
PRO,United States,Technology,Software—Application,1978,USD
NFGC,Canada,Basic Materials,Gold,642,USD
WVE,Singapore,Healthcare,Biotechnology,1356,USD
CRGE,,,,0,
ALV,Sweden,Consumer Cyclical,Auto Parts,701,USD
IEX,United States,Industrials,Specialty Industrial Machinery,1932,USD
LOCO,United States,Consumer Cyclical,Restaurants,579,USD
CSGS,United States,Technology,Software—Infrastructure,1281,USD
AMEH,,,,0,
GNRT,,,,0,
SINT,United States,Healthcare,Medical Devices,605,USD
QTEK,,,,0,
CIM,United States,Real Estate,REIT—Mortgage,854,USD
BSY,United States,Technology,Software—Application,1415,USD
PENN,United States,Consumer Cyclical,Resorts & Casinos,966,USD
ALG,United States,Industrials,Farm & Heavy Construction Machinery,1994,USD
BALY,United States,Consumer Cyclical,Resorts & Casinos,729,USD
GSVC,,,,0,
HNST,United States,Consumer Defensive,Household & Personal Products,438,USD
LFGR,,,,0,
RGP,United States,Industrials,Consulting Services,929,USD
SLRN,United States,Healthcare,Biotechnology,949,USD
HYPR,United States,Healthcare,Medical Devices,442,USD
LLL,,,,0,
ESND,,,,0,
M,United States,Consumer Cyclical,Department Stores,627,USD
NVDA,United States,Technology,Semiconductors,1499,USD
LRMR,United States,Healthcare,Biotechnology,414,USD
CRGX,United States,Healthcare,Biotechnology,717,USD
BQ,China,Consumer Cyclical,Specialty Retail,723,USD
AEO,United States,Consumer Cyclical,Apparel Retail,801,USD
JNPR,United States,Technology,Communication Equipment,1967,USD
SJW,United States,Utilities,Utilities—Regulated Water,2047,USD
DCM,,,,0,
WLKP,United States,Basic Materials,Chemicals,556,USD
BWIN,United States,Financial Services,Insurance Brokers,1249,USD
GOTU,China,Consumer Defensive,Education & Training Services,1837,USD
MBRX,United States,Healthcare,Biotechnology,915,USD
IVVD,United States,Healthcare,Biotechnology,1302,USD
XLO,United States,Healthcare,Biotechnology,680,USD
SNHY,,,,0,
WRD,,,,0,
ODFL,United States,Industrials,Trucking,661,USD
BWFG,United States,Financial Services,Banks—Regional,1450,USD
SHEL,United Kingdom,Energy,Oil & Gas Integrated,1538,USD
COT,,,,0,
TVTX,United States,Healthcare,Biotechnology,1430,USD
RRC,United States,Energy,Oil & Gas E&P,781,USD
UGRO,United States,Industrials,Farm & Heavy Construction Machinery,1968,USD
WSFS,United States,Financial Services,Banks—Regional,2000,USD
AXLA,,,,0,USD
RIO,United Kingdom,Basic Materials,Other Industrial Metals & Mining,970,USD
POL,,,,0,
BXE,,,,0,
BLTE,United States,Healthcare,Biotechnology,856,USD
GORO,United States,Basic Materials,Gold,444,USD
RMNI,United States,Technology,Software—Application,1671,USD
TXO,United States,Energy,Oil & Gas E&P,542,USD
BKS,,,,0,
AGU,,,,0,
GFN,,,,0,
OGE,United States,Utilities,Utilities—Regulated Electric,559,USD
WGP,,,,0,
CRMD,United States,Healthcare,Biotechnology,592,USD
SLVM,United States,Basic Materials,Paper & Paper Products,1078,USD
NFLX,United States,Communication Services,Entertainment,475,USD
DCI,United States,Industrials,Specialty Industrial Machinery,1679,USD
XELB,United States,Consumer Cyclical,Apparel Manufacturing,1183,USD
BUSE,United States,Financial Services,Banks—Regional,1724,USD
BWMN,United States,Industrials,Engineering & Construction,1970,USD
MTUS,United States,Basic Materials,Steel,955,USD
EYEN,United States,Healthcare,Biotechnology,1152,USD
KINS,United States,Financial Services,Insurance—Property & Casualty,785,USD
SRE,United States,Utilities,Utilities—Diversified,1531,USD
PTEN,United States,Energy,Oil & Gas Drilling,1445,USD
SSNT,United States,Technology,Software—Application,1062,USD
GTE,Canada,Energy,Oil & Gas E&P,222,USD
DSGN,United States,Healthcare,Biotechnology,1204,USD
VYNT,,,,0,
GNOG,,,,0,USD
TWTR,,,,0,
PULM,United States,Healthcare,Biotechnology,1012,USD
EVC,United States,Communication Services,Advertising Agencies,1164,USD
BMTC,,,,0,
AVO,United States,Consumer Defensive,Food Distribution,664,USD
CAFD,,,,0,
TYME,,,,0,
AABA,,,,0,
GWPH,,,,0,
TDC,United States,Technology,Software—Infrastructure,943,USD
DAVA,United Kingdom,Technology,Software—Infrastructure,1037,USD
CEG,United States,Utilities,Utilities—Renewable,620,USD
ANIX,United States,Healthcare,Biotechnology,948,USD
PNR,United Kingdom,Industrials,Specialty Industrial Machinery,1988,USD
AKAM,United States,Technology,Software—Infrastructure,1153,USD
PEPG,United States,Healthcare,Biotechnology,665,USD
CNAT,,,,0,
ZVIA,United States,Consumer Defensive,Beverages—Non-Alcoholic,540,USD
ELP,Brazil,Utilities,Utilities—Diversified,782,USD
UPBD,United States,Technology,Software—Application,1242,USD
ENTO,United States,Healthcare,Biotechnology,1312,USD
AOBC,,,,0,
FB,,,,0,
HTLD,United States,Industrials,Trucking,631,USD
VER,,,,0,
EFTR,United States,Healthcare,Biotechnology,1134,USD
VSI,,,,0,
FRAN,,,,0,
ADSE,Ireland,Industrials,Electrical Equipment & Parts,1485,USD
UHS,United States,Healthcare,Medical Care Facilities,875,USD
ZAYO,,,,0,
FROG,United States,Technology,Software—Application,1997,USD
PCAR,United States,Industrials,Farm & Heavy Construction Machinery,1437,USD
AFH,,,,0,
AEP,United States,Utilities,Utilities—Regulated Electric,786,USD
PNTG,United States,Healthcare,Medical Care Facilities,1071,USD
ALEX,United States,Real Estate,REIT—Retail,819,USD
VIVE,United States,Healthcare,Medical Devices,682,USD
MXCT,United States,Healthcare,Medical Devices,1074,USD
CLAR,United States,Consumer Cyclical,Leisure,1684,USD
RCM,United States,Healthcare,Health Information Services,1025,USD
ASML,Netherlands,Technology,Semiconductor Equipment & Materials,1283,USD
HAFC,United States,Financial Services,Banks—Regional,1087,USD
LMT,United States,Industrials,Aerospace & Defense,1662,USD
EXTR,United States,Technology,Communication Equipment,1731,USD
SNAX,United States,Consumer Defensive,Packaged Foods,903,USD
FBIN,United States,Industrials,Building Products & Equipment,1464,USD
RUN,United States,Technology,Solar,746,USD
KWR,United States,Basic Materials,Specialty Chemicals,853,USD
GSK,United Kingdom,Healthcare,Drug Manufacturers—General,1017,USD
MBUU,United States,Consumer Cyclical,Recreational Vehicles,782,USD
CD,,,,0,
NMRA,United States,Healthcare,Biotechnology,1191,USD
IS,,,,0,
VSTM,United States,Healthcare,Biotechnology,1866,USD
CRNT,Israel,Technology,Communication Equipment,1689,USD
ARAY,United States,Healthcare,Medical Devices,1590,USD
NXTM,,,,0,
VITL,United States,Consumer Defensive,Farm Products,231,USD
MMSI,United States,Healthcare,Medical Instruments & Supplies,1762,USD
DISCK,,,,0,
ROYT,,,,0,
LOOP,Canada,Basic Materials,Specialty Chemicals,682,USD
MOTS,United States,Healthcare,Medical Devices,484,USD
CLBK,United States,Financial Services,Banks—Regional,1089,USD
EMBK,,,,0,
MHK,United States,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1731,USD
ALKS,Ireland,Healthcare,Drug Manufacturers—Specialty & Generic,1220,USD
EEX,United States,Communication Services,Advertising Agencies,597,USD
PEG,United States,Utilities,Utilities—Regulated Electric,1389,USD
ENVB,United States,Healthcare,Biotechnology,599,USD
UDMY,United States,Consumer Defensive,Education & Training Services,677,USD
GBT,,,,0,
HAIN,United States,Consumer Defensive,Packaged Foods,1689,USD
ORBC,,,,0,
BW,United States,Industrials,Specialty Industrial Machinery,1906,USD
VRNT,United States,Technology,Software—Infrastructure,713,USD
NEXI,United States,Healthcare,Biotechnology,1036,USD
FAST,United States,Industrials,Industrial Distribution,1158,USD
SELB,,,,0,
FRC,,,,0,
FLIC,United States,Financial Services,Banks—Regional,1180,USD
LLEX,,,,0,
SPAR,,,,0,
ATI,United States,Industrials,Metal Fabrication,1196,USD
DDD,United States,Technology,Computer Hardware,1982,USD
BTI,United Kingdom,Consumer Defensive,Tobacco,669,USD
QUAD,United States,Industrials,Specialty Business Services,1026,USD
ACBI,,,,0,
TAP,United States,Consumer Defensive,Beverages—Brewers,1030,USD
FNWD,United States,Financial Services,Banks—Regional,1399,USD
FCPT,United States,Real Estate,REIT—Retail,321,USD
NWBI,United States,Financial Services,Banks—Regional,1019,USD
AMPG,United States,Technology,Communication Equipment,1761,USD
INTR,Brazil,Financial Services,Banks—Regional,883,USD
COCP,United States,Healthcare,Biotechnology,1103,USD
GLT,United States,Basic Materials,Paper & Paper Products,1383,USD
ADPT,United States,Healthcare,Biotechnology,1297,USD
ZTS,United States,Healthcare,Drug Manufacturers—Specialty & Generic,1212,USD
FFKT,,,,0,
WPC,United States,Real Estate,REIT—Diversified,600,USD
RNR,Bermuda,Financial Services,Insurance—Reinsurance,1416,USD
CBFV,United States,Financial Services,Banks—Regional,1375,USD
VYX,United States,Technology,Information Technology Services,1888,USD
HES,United States,Energy,Oil & Gas E&P,939,USD
AHH,United States,Real Estate,REIT—Diversified,1508,USD
FMBH,United States,Financial Services,Banks—Regional,1374,USD
AGII,,,,0,
LAUR,United States,Consumer Defensive,Education & Training Services,799,USD
SURG,United States,Technology,Software—Application,743,USD
BRKL,United States,Financial Services,Banks—Regional,1026,USD
DV,United States,Technology,Software—Application,1674,USD
VFF,Canada,Consumer Defensive,Farm Products,1018,USD
ORCC,,,,0,
AU,United States,Basic Materials,Gold,435,USD
VLN,Israel,Technology,Semiconductors,1101,USD
UIS,United States,Technology,Information Technology Services,1514,USD
ENR,United States,Industrials,Electrical Equipment & Parts,1928,USD
NVTS,United States,Technology,Semiconductors,549,USD
BHR,United States,Real Estate,REIT—Hotel & Motel,196,USD
BLUE,United States,Healthcare,Biotechnology,1026,USD
GFL,Canada,Industrials,Waste Management,445,USD
CTVA,United States,Basic Materials,Agricultural Inputs,1135,USD
PET,United States,Technology,Software—Application,485,USD
CERN,,,,0,
LAC,Canada,Basic Materials,Other Industrial Metals & Mining,374,USD
NSIT,United States,Technology,Electronics & Computer Distribution,1312,USD
GSMG,,,,0,
CVEO,United States,Industrials,Specialty Business Services,977,USD
RICE,,,,0,
LOV,,,,0,
SMLR,United States,Healthcare,Medical Devices,964,USD
OSBC,United States,Financial Services,Banks—Regional,1651,USD
MGRC,United States,Industrials,Rental & Leasing Services,1525,USD
DPSI,United States,Technology,Software—Application,1667,USD
CASI,China,Healthcare,Biotechnology,1665,USD
SUNW,,,,0,
OCGN,United States,Healthcare,Biotechnology,1627,USD
ICVX,,,,0,
UP,United States,Industrials,Airports & Air Services,1146,USD
GPRO,United States,Technology,Consumer Electronics,1800,USD
NANO,,,,0,
MTOR,,,,0,
WTER,United States,Consumer Defensive,Beverages—Non-Alcoholic,615,USD
HSNI,,,,0,
MSDL,,,,0,USD
APTO,Canada,Healthcare,Biotechnology,1226,USD
CSFL,,,,0,
VSEC,United States,Industrials,Aerospace & Defense,1100,USD
GPMT,United States,Real Estate,REIT—Mortgage,826,USD
PRCT,United States,Healthcare,Medical Devices,586,USD
HESM,United States,Energy,Oil & Gas Midstream,1540,USD
ABEO,United States,Healthcare,Biotechnology,772,USD
CLF,United States,Basic Materials,Steel,1212,USD
VLD,United States,Technology,Computer Hardware,1032,USD
TOON,United States,Communication Services,Entertainment,1215,USD
PH,United States,Industrials,Specialty Industrial Machinery,1934,USD
PPG,United States,Basic Materials,Specialty Chemicals,1889,USD
AFG,United States,Financial Services,Insurance—Property & Casualty,1072,USD
LLNW,,,,0,
RSO,,,,0,
CNH,United Kingdom,Industrials,Farm & Heavy Construction Machinery,1698,USD
PLX,Israel,Healthcare,Biotechnology,1042,USD
SQBG,,,,0,
AVNW,United States,Technology,Communication Equipment,1521,USD
OPHT,,,,0,
BLFY,United States,Financial Services,Banks—Regional,725,USD
NBBK,United States,Financial Services,Banks—Regional,960,USD
ZFGN,,,,0,
DLTR,United States,Consumer Defensive,Discount Stores,1632,USD
PERI,Israel,Communication Services,Internet Content & Information,1703,USD
CMPS,United Kingdom,Healthcare,Medical Care Facilities,559,USD
IPHI,,,,0,
SWBI,United States,Industrials,Aerospace & Defense,1192,USD
PK,United States,Real Estate,REIT—Hotel & Motel,326,USD
LGO,Canada,Basic Materials,Other Industrial Metals & Mining,891,USD
PMBC,,,,0,
FORM,United States,Technology,Semiconductors,1844,USD
STRM,United States,Healthcare,Health Information Services,1572,USD
OPAL,United States,Utilities,Utilities—Regulated Gas,590,USD
CBAY,,,,0,
UDR,United States,Real Estate,REIT—Residential,567,USD
CNP,United States,Utilities,Utilities—Regulated Electric,1205,USD
FSLR,United States,Technology,Solar,983,USD
XON,,,,0,
MTD,United States,Healthcare,Diagnostics & Research,1722,USD
PUB,,,,0,
NWY,,,,0,
TBRG,United States,Healthcare,Health Information Services,1982,USD
TRMD,United Kingdom,Energy,Oil & Gas Midstream,505,USD
EYES,,,,0,
APLS,United States,Healthcare,Biotechnology,1173,USD
VFS,Vietnam,Consumer Cyclical,Auto Manufacturers,870,USD
EDN,Argentina,Utilities,Utilities—Regulated Electric,341,USD
LKFN,United States,Financial Services,Banks—Regional,1110,USD
SFR,,,,0,USD
NDLS,United States,Consumer Cyclical,Restaurants,320,USD
CNR,,,,0,
REED,United States,Consumer Defensive,Beverages—Non-Alcoholic,745,USD
GNBC,,,,0,
